Genus_&_Specie,Time_(Ma),Location,Zone,Current_Country,Habitat,Cranial_Capacity_(cm³),Height_(cm),Incisor_Size,Jaw_Shape,Torus_Supraorbital,Prognathism,Foramen_Mágnum_Position,Canine Size,Canines_Shape,Tooth_Enamel,Tecno,Tecno_type,biped,Arms,Foots,Diet,Sexual_Dimorphism,Hip,Vertical_Front,Anatomy,Migrated,Skeleton,Cranial_Capacity_normalized,Height_normalized,Time_years,full_address,Latitude,Longitude
hominino Ardipithecus ramidus / kabadda,4.54700909,Africa,oriental,Ethiopia,mixed,266.73577,107.8513,small,conical,very protruding,high,semi-anterior,small,conicalls,thick-medium,no,no,high probability,climbing,climbing,soft fruits,medium-high,wide,no,old,no,light,0.18415923496469513,0.583038461424105,4547009.090000001,Ethiopia,10.2116702,38.6521203
Homo Rudolfensis,2.44722342,Africa,oriental,Kenya,savannah,753.94022,127.30092,small,U shape,less protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,walk,hard fruits,high,slim,no,mixed,no,refined,0.5205340630704084,0.6881820852847678,2447223.42,Kenya,1.4419683,38.4313975
Homo Floresiensis,0.35075631,Asia ,oriental,Indonesia,peninsular,226.8242,108.59894,small,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,yes,mode 1,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light,0.1566035599330341,0.5870801639840103,350756.31,Indonesia,-2.4833826,117.8902853
Homo Habilis,2.31018359,Africa,oriental,Ethiopia,savannah,627.80908,138.32362,small,U shape,little protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,yes,modern,yes,robust,0.4334508261741164,0.7477702223655399,2310183.59,Ethiopia,10.2116702,38.6521203
Homo Erectus,1.25448439,Asia ,west,Indonesia,savannah,1052.24413,151.54885,very small,modern,little protruding,reduced,modern,small,incisiform,thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust,0.7264885169952693,0.8192651209080694,1254484.39,Indonesia,-2.4833826,117.8902853
Homo Naledi,0.78928167,Africa,south,South Africa,jungle,202.56489,137.79946,big,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,no,no,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light,0.1398544903561589,0.7449366409442677,789281.67,South Africa,-28.8166236,24.991639
Paranthropus Boisei,2.53221178,Africa,oriental,Ethiopia,forest,485.63898,100.17198,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust,0.3352939990981895,0.5415244609662212,2532211.78,Ethiopia,10.2116702,38.6521203
Homo Sapiens,0.53550592,Africa,oriental,Kenya,savannah,1277.22495,171.61215,very small,modern,flat,absent,modern,small,incisiform,very thin,yes,mode 4,modern,manipulate with precision,walk,carnivorous,reduced,very modern,modern,very modern,yes,refined,0.8818193737938522,0.9277262666067329,535505.9199999999,Kenya,1.4419683,38.4313975
Homo Antecesor,0.7275987,Europa,west,Spain,savannah,1151.66419,178.60686,medium large,U shape,little protruding,medium,modern,big,incisiform,medium-thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,mixed,yes,light,0.795129937640667,0.9655393013731919,727598.7000000001,Spain,39.3260685,-4.8379791
Australopithecus Anamensis,4.13171729,Africa,oriental,Kenya,forest-gallery,327.49109,122.52785,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,no,mixed,no,light,0.22610581472501465,0.66237911963605,4131717.29,Kenya,1.4419683,38.4313975
hominino Ardipithecus ramidus / kabadda,4.00923049,Africa,oriental,Ethiopia,mixed,402.25773,116.1818,small,conical,very protruding,high,semi-anterior,small,conicalls,thick-medium,no,no,high probability,climbing,climbing,soft fruits,medium-high,wide,no,old,no,light,0.27772606506969383,0.6280727067497849,4009230.49,Ethiopia,10.2116702,38.6521203
Homo Naledi,0.71692106,Africa,south,South Africa,jungle,398.05747,125.61793,big,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,no,no,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light,0.2748261290459172,0.6790839297670118,716921.06,South Africa,-28.8166236,24.991639
Homo Rudolfensis,3.02899721,Africa,oriental,Kenya,savannah,727.41031,120.75818,small,U shape,less protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,walk,hard fruits,high,slim,no,mixed,no,refined,0.5022173298880451,0.6528123765923556,3028997.21,Kenya,1.4419683,38.4313975
Australopithecus Africanus,4.16040834,Africa,south,South Africa,forest-gallery,667.44704,103.40172,small,conical,very protruding,medium-high,anterior,small,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,yes,old,no,light,0.4608175958771869,0.5589842657196168,4160408.34,South Africa,-28.8166236,24.991639
hominino Orrorin tugenencin,6.21860422,Africa,oriental,Kenya,forest,225.24214,110.9218,small,conical,very protruding,high,posterior,big,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light,0.15551127688727598,0.5996374231037761,6218604.22,Kenya,1.4419683,38.4313975
Homo Floresiensis,0.36009669,Asia ,oriental,Indonesia,peninsular,339.28275,109.97157,small,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,yes,mode 1,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light,0.2342469916079044,0.5945005296477025,360096.69,Indonesia,-2.4833826,117.8902853
Homo Habilis,2.49978931,Africa,oriental,Ethiopia,savannah,715.10996,133.5628,small,U shape,little protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,yes,modern,yes,robust,0.49372494416190876,0.7220334795732222,2499789.31,Ethiopia,10.2116702,38.6521203
Homo Rudolfensis,2.88760109,Africa,oriental,Kenya,savannah,636.96928,123.80417,small,U shape,less protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,walk,hard fruits,high,slim,no,mixed,no,refined,0.43977519513341873,0.6692788384997523,2887601.09,Kenya,1.4419683,38.4313975
Homo Ergaster,1.88408062,Africa,oriental,Kenya,savannah,969.53084,158.82369,very small,modern,very protruding,reduced,modern,small,incisiform,medium-thin,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,modern,modern,modern,yes,robust,0.6693817547195798,0.8585925237368396,1884080.6199999999,Kenya,1.4419683,38.4313975
Paranthropus Boisei,2.40676261,Africa,oriental,Ethiopia,forest,595.23216,114.5272,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust,0.4109591271241312,0.6191280260804529,2406762.61,Ethiopia,10.2116702,38.6521203
Australopithecus Sediba,2.16955659,Africa,south,South Africa,mixed,412.11905,109.44482,small,U shape,very protruding,medium-high,anterior,small,conicalls,medium-thin,no,no,yes,climbing,walk,soft fruits,high,slim,no,old,no,light,0.2845345000499069,0.5916529468225058,2169556.59,South Africa,-28.8166236,24.991639
Homo Rodhesiensis,0.82896438,Africa,oriental,Ethiopia,savannah,1133.65308,146.79697,big,U shape,less protruding,medium-high,modern,big,incisiform,medium-thick,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,slim,yes,mixed,no,robust,0.7826947391726664,0.7935767072860549,828964.3799999999,Ethiopia,10.2116702,38.6521203
Australopithecus Anamensis,4.69682026,Africa,oriental,Kenya,forest-gallery,224.71673,116.70572,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,no,mixed,no,light,0.15514852425142664,0.6309049907436665,4696820.26,Kenya,1.4419683,38.4313975
Homo Antecesor,0.7702941,Europa,west,Spain,savannah,981.00997,167.47311,medium large,U shape,little protruding,medium,modern,big,incisiform,medium-thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,mixed,yes,light,0.6773071551968396,0.9053508338268512,770294.1,Spain,39.3260685,-4.8379791
Homo Georgicus,2.00994007,Asia ,west,Georgia,savannah,719.64089,144.76889,medium large,U shape,very protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust,0.49685318077778745,0.7826130133589071,2009940.0699999998,Georgia,32.3293809,-83.1137366
Australopithecus Sediba,2.19075377,Africa,south,South Africa,mixed,419.91487,107.47275,small,U shape,very protruding,medium-high,anterior,small,conicalls,medium-thin,no,no,yes,climbing,walk,soft fruits,high,slim,no,old,no,light,0.2899168762011162,0.5809920400126608,2190753.77,South Africa,-28.8166236,24.991639
hominino Ardipithecus ramidus / kabadda,4.14569051,Africa,oriental,Ethiopia,mixed,244.41923,101.32551,small,conical,very protruding,high,semi-anterior,small,conicalls,thick-medium,no,no,high probability,climbing,climbing,soft fruits,medium-high,wide,no,old,no,light,0.16875148918894478,0.5477603835411604,4145690.51,Ethiopia,10.2116702,38.6521203
hominino Orrorin tugenencin,6.68513749,Africa,oriental,Kenya,forest,121.82944,125.51881,small,conical,very protruding,high,posterior,big,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light,0.08411326484849493,0.6785480922546558,6685137.49,Kenya,1.4419683,38.4313975
Homo Sapiens,0.29694628,Africa,oriental,Kenya,savannah,1164.59645,171.55146,very small,modern,flat,absent,modern,small,incisiform,very thin,yes,mode 4,modern,manipulate with precision,walk,carnivorous,reduced,very modern,modern,very modern,yes,refined,0.8040586055428556,0.9273981796553113,296946.28,Kenya,1.4419683,38.4313975
Homo Floresiensis,0.22386886,Asia ,oriental,Indonesia,peninsular,336.36985,103.53425,small,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,yes,mode 1,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light,0.23223587238108057,0.559700715936652,223868.86000000002,Indonesia,-2.4833826,117.8902853
Homo Erectus,1.77552718,Asia ,west,Indonesia,savannah,1099.93369,166.57311,very small,modern,little protruding,reduced,modern,small,incisiform,thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust,0.7594142580213151,0.9004854811117549,1775527.1800000002,Indonesia,-2.4833826,117.8902853
Homo Rudolfensis,2.9662517,Africa,oriental,Kenya,savannah,672.22726,129.30185,small,U shape,less protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,walk,hard fruits,high,slim,no,mixed,no,refined,0.46411794685059754,0.6989990077383436,2966251.6999999997,Kenya,1.4419683,38.4313975
Australopithecus Anamensis,4.56474807,Africa,oriental,Kenya,forest-gallery,262.81118,115.85308,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,no,mixed,no,light,0.18144962653103774,0.6262956637003333,4564748.07,Kenya,1.4419683,38.4313975
Australopithecus Bahrelghazali,3.63628745,Africa,central,Republic of Chad,mixed,309.00807,112.00421,small,U shape,very protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,climbing,dry fruits,high,slim,no,old,no,light,0.21334480099582054,0.6054888746952736,3636287.45,Republic of Chad,15.6134137,19.0156172
Homo Floresiensis,0.51441932,Asia ,oriental,Indonesia,peninsular,319.98693,96.84169,small,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,yes,mode 1,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light,0.22092480595122826,0.5235210881956002,514419.32,Indonesia,-2.4833826,117.8902853
Australopithecus Garhi,2.94202259,Africa,oriental,Ethiopia,mixed,404.37948,120.57918,big,U shape,very protruding,medium-high,anterior,big,conicalls,thick,likely,primitive,yes,climbing,walk,omnivore,high,slim,no,old,no,light,0.2791909599234525,0.6518447119967975,2942022.5900000003,Ethiopia,10.2116702,38.6521203
Homo Antecesor,1.47001405,Europa,west,Spain,savannah,1013.84273,164.5075,medium large,U shape,little protruding,medium,modern,big,incisiform,medium-thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,mixed,yes,light,0.6999754908436838,0.8893189019763873,1470014.05,Spain,39.3260685,-4.8379791
hominino Orrorin tugenencin,6.52392279,Africa,oriental,Kenya,forest,165.01383,118.30695,small,conical,very protruding,high,posterior,big,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light,0.11392855443195438,0.6395611559969933,6523922.79,Kenya,1.4419683,38.4313975
Homo Naledi,0.38994916,Africa,south,South Africa,jungle,347.59235,134.28367,big,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,no,no,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light,0.23998409083108932,0.7259304649195906,389949.16000000003,South Africa,-28.8166236,24.991639
Australopithecus Garhi,2.63358424,Africa,oriental,Ethiopia,mixed,247.9773,122.38902,big,U shape,very protruding,medium-high,anterior,big,conicalls,thick,likely,primitive,yes,climbing,walk,omnivore,high,slim,no,old,no,light,0.17120804553738966,0.6616286119500091,2633584.2399999998,Ethiopia,10.2116702,38.6521203
Paranthropus Boisei,2.2861948,Africa,oriental,Ethiopia,forest,556.04934,112.23029,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust,0.3839065943687405,0.6067110512973057,2286194.8000000003,Ethiopia,10.2116702,38.6521203
"Homo Neanderthalensis
",0.40925652,Europa,central,Germany,cold forest,1195.90368,165.36565,big,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 3,modern,manipulate with precision,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust,0.8256736874857975,0.8939580157902319,409256.52,Germany,51.1638175,10.4478313
"Homo Neanderthalensis
",0.03594761,Europa,central,Germany,cold forest,1199.99517,154.28463,big,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 3,modern,manipulate with precision,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust,0.8284985267200169,0.8340546038535215,35947.61,Germany,51.1638175,10.4478313
Paranthropus Aethiopicus,2.93605766,Africa,oriental,Kenya,forest-savanna,473.91542,117.34743,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust,0.32719983969593647,0.634374041289005,2936057.6599999997,Kenya,1.4419683,38.4313975
hominino Sahelanthropus tchadensis,7.49866915,Africa,central,Republic of Chad,mixed,213.96245,82.60807,small,conical,very protruding,high,posterior,small,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light,0.1477235734193874,0.4465748862926526,7498669.149999999,Republic of Chad,15.6134137,19.0156172
Australopithecus Garhi,2.49397383,Africa,oriental,Ethiopia,mixed,231.05873,120.42082,big,U shape,very protruding,medium-high,anterior,big,conicalls,thick,likely,primitive,yes,climbing,walk,omnivore,high,slim,no,old,no,light,0.15952715658913708,0.6509886261568391,2493973.8299999996,Ethiopia,10.2116702,38.6521203
Homo Naledi,0.38490852,Africa,south,South Africa,jungle,485.5928,136.4929,big,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,no,no,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light,0.33526211558488844,0.7378734462293381,384908.51999999996,South Africa,-28.8166236,24.991639
Australopithecus Bahrelghazali,3.59957465,Africa,central,Republic of Chad,mixed,407.92343,110.30473,small,U shape,very protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,climbing,dry fruits,high,slim,no,old,no,light,0.2816377675666611,0.596301575103882,3599574.65,Republic of Chad,15.6134137,19.0156172
Homo Ergaster,1.48145253,Africa,oriental,Kenya,savannah,874.62232,168.96709,very small,modern,very protruding,reduced,modern,small,incisiform,medium-thin,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,modern,modern,modern,yes,robust,0.6038551834808161,0.9134272112149625,1481452.53,Kenya,1.4419683,38.4313975
Homo Floresiensis,0.61457653,Asia ,oriental,Indonesia,peninsular,192.68727,90.18057,small,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,yes,mode 1,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light,0.13303480155899472,0.487511423442729,614576.53,Indonesia,-2.4833826,117.8902853
Homo Georgicus,2.36122546,Asia ,west,Georgia,savannah,682.04924,149.0488,medium large,U shape,very protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust,0.4708992207781197,0.8057499819576504,2361225.46,Georgia,32.3293809,-83.1137366
Paranthropus Robustus,1.67079903,Africa,south,South Africa,jungle,477.48063,121.7125,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust,0.3296613256304569,0.6579713803735456,1670799.03,South Africa,-28.8166236,24.991639
Homo Rodhesiensis,0.9015738,Africa,oriental,Ethiopia,savannah,1082.13476,157.60392,big,U shape,less protruding,medium-high,modern,big,incisiform,medium-thick,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,slim,yes,mixed,no,robust,0.7471255524907813,0.8519985112020692,901573.7999999999,Ethiopia,10.2116702,38.6521203
Australopithecus Afarensis,3.71531159,Africa,oriental,Kenya,mixed,212.10196,137.96536,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,walk,dry fruits,high,slim,no,old,no,refined,0.14643905722922865,0.7458334876280839,3715311.5900000003,Kenya,1.4419683,38.4313975
Australopithecus Garhi,3.11629369,Africa,oriental,Ethiopia,mixed,252.46508,114.56538,big,U shape,very protruding,medium-high,anterior,big,conicalls,thick,likely,primitive,yes,climbing,walk,omnivore,high,slim,no,old,no,light,0.17430649060716738,0.6193344251545223,3116293.69,Ethiopia,10.2116702,38.6521203
Australopithecus Sediba,1.9157334,Africa,south,South Africa,mixed,359.61501,106.35198,small,U shape,very protruding,medium-high,anterior,small,conicalls,medium-thin,no,no,yes,climbing,walk,soft fruits,high,slim,no,old,no,light,0.24828475432230626,0.574933216276551,1915733.4,South Africa,-28.8166236,24.991639
Australopithecus Anamensis,4.59437393,Africa,oriental,Kenya,forest-gallery,468.24516,125.58886,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,no,mixed,no,light,0.3232849888918958,0.6789267788743142,4594373.93,Kenya,1.4419683,38.4313975
Homo Naledi,0.78380891,Africa,south,South Africa,jungle,266.27057,127.89268,big,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,no,no,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light,0.18383805240974357,0.6913811087544184,783808.9099999999,South Africa,-28.8166236,24.991639
Homo Naledi,0.44761853,Africa,south,South Africa,jungle,475.39468,120.57658,big,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,no,no,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light,0.32822114774889793,0.6518306565333984,447618.53,South Africa,-28.8166236,24.991639
Homo Erectus,1.95200739,Asia ,west,Indonesia,savannah,1025.9654,162.13414,very small,modern,little protruding,reduced,modern,small,incisiform,thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust,0.7083452030608697,0.87648864250983,1952007.39,Indonesia,-2.4833826,117.8902853
Homo Rodhesiensis,0.53696936,Africa,oriental,Ethiopia,savannah,1089.68668,150.98235,big,U shape,less protruding,medium-high,modern,big,incisiform,medium-thick,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,slim,yes,mixed,no,robust,0.7523395356386531,0.8162026516712892,536969.36,Ethiopia,10.2116702,38.6521203
Australopithecus Anamensis,4.78463865,Africa,oriental,Kenya,forest-gallery,290.66245,128.74588,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,no,mixed,no,light,0.20067865072976132,0.6959934631283299,4784638.649999999,Kenya,1.4419683,38.4313975
Homo Antecesor,0.8437986,Europa,west,Spain,savannah,1047.19228,173.90226,medium large,U shape,little protruding,medium,modern,big,incisiform,medium-thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,mixed,yes,light,0.7230006277213394,0.9401064809471437,843798.6,Spain,39.3260685,-4.8379791
Homo Rudolfensis,2.37585998,Africa,oriental,Kenya,savannah,824.1574,139.78335,small,U shape,less protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,walk,hard fruits,high,slim,no,mixed,no,refined,0.5690132833496319,0.7556614460531044,2375859.98,Kenya,1.4419683,38.4313975
"Homo Neanderthalensis
",0.44950786,Europa,central,Germany,cold forest,1221.79545,155.04967,big,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 3,modern,manipulate with precision,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust,0.8435498371866115,0.838190369899252,449507.86,Germany,51.1638175,10.4478313
Australopithecus Sediba,2.01305806,Africa,south,South Africa,mixed,390.62308,106.27208,small,U shape,very protruding,medium-high,anterior,small,conicalls,medium-thin,no,no,yes,climbing,walk,soft fruits,high,slim,no,old,no,light,0.26969329075119136,0.5745012810743997,2013058.06,South Africa,-28.8166236,24.991639
hominino Sahelanthropus tchadensis,7.43615698,Africa,central,Republic of Chad,mixed,171.58887,90.54258,small,conical,very protruding,high,posterior,small,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light,0.11846808183115645,0.4894684304831647,7436156.9799999995,Republic of Chad,15.6134137,19.0156172
Australopithecus Afarensis,3.9243651,Africa,oriental,Kenya,mixed,443.83967,120.04176,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,walk,dry fruits,high,slim,no,old,no,refined,0.30643499397993285,0.6489394477121895,3924365.1,Kenya,1.4419683,38.4313975
Homo Sapiens,0.680606,Africa,oriental,Kenya,savannah,1259.36579,166.4868,very small,modern,flat,absent,modern,small,incisiform,very thin,yes,mode 4,modern,manipulate with precision,walk,carnivorous,reduced,very modern,modern,very modern,yes,refined,0.8694890843740565,0.9000188937863769,680606.0,Kenya,1.4419683,38.4313975
