date;annee;mois;Jour
44149;2020;11;14
44150;2020;11;15
44151;2020;11;16
44152;2020;11;17
44153;2020;11;18
44154;2020;11;19
44155;2020;11;20
44156;2020;11;21
44157;2020;11;22
44158;2020;11;23
44159;2020;11;24
44160;2020;11;25
44161;2020;11;26
44162;2020;11;27
44163;2020;11;28
44164;2020;11;29
44165;2020;11;30
44166;2020;12;01
44167;2020;12;02
44168;2020;12;03
44169;2020;12;04
44170;2020;12;05
44171;2020;12;06
44172;2020;12;07
44173;2020;12;08
44174;2020;12;09
44175;2020;12;10
44176;2020;12;11
44177;2020;12;12
44178;2020;12;13
44179;2020;12;14
44180;2020;12;15
44181;2020;12;16
44182;2020;12;17
44183;2020;12;18
44184;2020;12;19
44185;2020;12;20
44186;2020;12;21
44187;2020;12;22
44188;2020;12;23
44189;2020;12;24
44190;2020;12;25
44191;2020;12;26
44192;2020;12;27
44193;2020;12;28
44194;2020;12;29
44195;2020;12;30
44196;2020;12;31
44197;2021;1;01
44198;2021;1;02
44199;2021;1;03
44200;2021;1;04
44201;2021;1;05
44202;2021;1;06
44203;2021;1;07
44204;2021;1;08
44205;2021;1;09
44206;2021;1;10
44207;2021;1;11
44208;2021;1;12
44209;2021;1;13
44210;2021;1;14
44211;2021;1;15
44212;2021;1;16
44213;2021;1;17
44214;2021;1;18
44215;2021;1;19
44216;2021;1;20
44217;2021;1;21
44218;2021;1;22
44219;2021;1;23
44220;2021;1;24
44221;2021;1;25
44222;2021;1;26
44223;2021;1;27
44224;2021;1;28
44225;2021;1;29
44226;2021;1;30
44227;2021;1;31
44228;2021;2;01
44229;2021;2;02
44230;2021;2;03
44231;2021;2;04
44232;2021;2;05
44233;2021;2;06
44234;2021;2;07
44235;2021;2;08
44236;2021;2;09
44237;2021;2;10
44238;2021;2;11
44239;2021;2;12
44240;2021;2;13
44241;2021;2;14
44242;2021;2;15
44243;2021;2;16
44244;2021;2;17
44245;2021;2;18
44246;2021;2;19
44247;2021;2;20
44248;2021;2;21
44249;2021;2;22
44250;2021;2;23
44251;2021;2;24
44252;2021;2;25
44253;2021;2;26
44254;2021;2;27
44255;2021;2;28
44256;2021;3;01
44257;2021;3;02
44258;2021;3;03
44259;2021;3;04
44260;2021;3;05
44261;2021;3;06
44262;2021;3;07
44263;2021;3;08
44264;2021;3;09
44265;2021;3;10
44266;2021;3;11
44267;2021;3;12
44268;2021;3;13
44269;2021;3;14
44270;2021;3;15
44271;2021;3;16
44272;2021;3;17
44273;2021;3;18
44274;2021;3;19
44275;2021;3;20
44276;2021;3;21
44277;2021;3;22
44278;2021;3;23
44279;2021;3;24
44280;2021;3;25
44281;2021;3;26
44282;2021;3;27
44283;2021;3;28
44284;2021;3;29
44285;2021;3;30
44286;2021;3;31
44287;2021;4;01
44288;2021;4;02
44289;2021;4;03
44290;2021;4;04
44291;2021;4;05
44292;2021;4;06
44293;2021;4;07
44294;2021;4;08
44295;2021;4;09
44296;2021;4;10
44297;2021;4;11
44298;2021;4;12
44299;2021;4;13
44300;2021;4;14
44301;2021;4;15
44302;2021;4;16
44303;2021;4;17
44304;2021;4;18
44305;2021;4;19
44306;2021;4;20
44307;2021;4;21
44308;2021;4;22
44309;2021;4;23
44310;2021;4;24
44311;2021;4;25
44312;2021;4;26
44313;2021;4;27
44314;2021;4;28
44315;2021;4;29
44316;2021;4;30
44317;2021;5;01
44318;2021;5;02
44319;2021;5;03
44320;2021;5;04
44321;2021;5;05
44322;2021;5;06
44323;2021;5;07
44324;2021;5;08
44325;2021;5;09
44326;2021;5;10
44327;2021;5;11
44328;2021;5;12
44329;2021;5;13
44330;2021;5;14
44331;2021;5;15
44332;2021;5;16
44333;2021;5;17
44334;2021;5;18
44335;2021;5;19
44336;2021;5;20
44337;2021;5;21
44338;2021;5;22
44339;2021;5;23
44340;2021;5;24
44341;2021;5;25
44342;2021;5;26
44343;2021;5;27
44344;2021;5;28
44345;2021;5;29
44346;2021;5;30
44347;2021;5;31
44348;2021;6;01
44349;2021;6;02
44350;2021;6;03
44351;2021;6;04
44352;2021;6;05
44353;2021;6;06
44354;2021;6;07
44355;2021;6;08
44356;2021;6;09
44357;2021;6;10
44358;2021;6;11
44359;2021;6;12
44360;2021;6;13
44361;2021;6;14
44362;2021;6;15
44363;2021;6;16
44364;2021;6;17
44365;2021;6;18
44366;2021;6;19
44367;2021;6;20
44368;2021;6;21
44369;2021;6;22
44370;2021;6;23
44371;2021;6;24
44372;2021;6;25
44373;2021;6;26
44374;2021;6;27
44375;2021;6;28
44376;2021;6;29
44377;2021;6;30
44378;2021;7;01
44379;2021;7;02
44380;2021;7;03
44381;2021;7;04
44382;2021;7;05
44383;2021;7;06
44384;2021;7;07
44385;2021;7;08
44386;2021;7;09
44387;2021;7;10
44388;2021;7;11
44389;2021;7;12
44390;2021;7;13
44391;2021;7;14
44392;2021;7;15
44393;2021;7;16
44394;2021;7;17
44395;2021;7;18
44396;2021;7;19
44397;2021;7;20
44398;2021;7;21
44399;2021;7;22
44400;2021;7;23
44401;2021;7;24
44402;2021;7;25
44403;2021;7;26
44404;2021;7;27
44405;2021;7;28
44406;2021;7;29
44407;2021;7;30
44408;2021;7;31
44409;2021;8;01
44410;2021;8;02
44411;2021;8;03
44412;2021;8;04
44413;2021;8;05
44414;2021;8;06
44415;2021;8;07
44416;2021;8;08
44417;2021;8;09
44418;2021;8;10
44419;2021;8;11
44420;2021;8;12
44421;2021;8;13
44422;2021;8;14
44423;2021;8;15
44424;2021;8;16
44425;2021;8;17
44426;2021;8;18
44427;2021;8;19
44428;2021;8;20
44429;2021;8;21
44430;2021;8;22
44431;2021;8;23
44432;2021;8;24
44433;2021;8;25
44434;2021;8;26
44435;2021;8;27
44436;2021;8;28
44437;2021;8;29
44438;2021;8;30
44439;2021;8;31
44440;2021;9;01
44441;2021;9;02
44442;2021;9;03
44443;2021;9;04
44444;2021;9;05
44445;2021;9;06
44446;2021;9;07
44447;2021;9;08
44448;2021;9;09
44449;2021;9;10
44450;2021;9;11
44451;2021;9;12
44452;2021;9;13
44453;2021;9;14
44454;2021;9;15
44455;2021;9;16
44456;2021;9;17
44457;2021;9;18
44458;2021;9;19
44459;2021;9;20
44460;2021;9;21
44461;2021;9;22
44462;2021;9;23
44463;2021;9;24
44464;2021;9;25
44465;2021;9;26
44466;2021;9;27
44467;2021;9;28
44468;2021;9;29
44469;2021;9;30
44470;2021;10;01
44471;2021;10;02
44472;2021;10;03
44473;2021;10;04
44474;2021;10;05
44475;2021;10;06
44476;2021;10;07
44477;2021;10;08
44478;2021;10;09
44479;2021;10;10
44480;2021;10;11
44481;2021;10;12
44482;2021;10;13
44483;2021;10;14
44484;2021;10;15
44485;2021;10;16
44486;2021;10;17
44487;2021;10;18
44488;2021;10;19
44489;2021;10;20
44490;2021;10;21
44491;2021;10;22
44492;2021;10;23
44493;2021;10;24
44494;2021;10;25
44495;2021;10;26
44496;2021;10;27
44497;2021;10;28
44498;2021;10;29
44499;2021;10;30
44500;2021;10;31
44501;2021;11;01
44502;2021;11;02
44503;2021;11;03
44504;2021;11;04
44505;2021;11;05
44506;2021;11;06
44507;2021;11;07
44508;2021;11;08
44509;2021;11;09
44510;2021;11;10
44511;2021;11;11
44512;2021;11;12
44513;2021;11;13
44514;2021;11;14
44515;2021;11;15
44516;2021;11;16
44517;2021;11;17
44518;2021;11;18
44519;2021;11;19
44520;2021;11;20
44521;2021;11;21
44522;2021;11;22
44523;2021;11;23
44524;2021;11;24
44525;2021;11;25
44526;2021;11;26
44527;2021;11;27
44528;2021;11;28
44529;2021;11;29
44530;2021;11;30
44531;2021;12;01
44532;2021;12;02
44533;2021;12;03
44534;2021;12;04
44535;2021;12;05
44536;2021;12;06
44537;2021;12;07
44538;2021;12;08
44539;2021;12;09
44540;2021;12;10
44541;2021;12;11
44542;2021;12;12
44543;2021;12;13
44544;2021;12;14
44545;2021;12;15
44546;2021;12;16
44547;2021;12;17
44548;2021;12;18
44549;2021;12;19
44550;2021;12;20
44551;2021;12;21
44552;2021;12;22
44553;2021;12;23
44554;2021;12;24
44555;2021;12;25
44556;2021;12;26
44557;2021;12;27
44558;2021;12;28
44559;2021;12;29
44560;2021;12;30
44561;2021;12;31
44562;2022;1;01
44563;2022;1;02
44564;2022;1;03
44565;2022;1;04
44566;2022;1;05
44567;2022;1;06
44568;2022;1;07
44569;2022;1;08
44570;2022;1;09
44571;2022;1;10
44572;2022;1;11
44573;2022;1;12
44574;2022;1;13
44575;2022;1;14
44576;2022;1;15
44577;2022;1;16
44578;2022;1;17
44579;2022;1;18
44580;2022;1;19
44581;2022;1;20
44582;2022;1;21
44583;2022;1;22
44584;2022;1;23
44585;2022;1;24
44586;2022;1;25
44587;2022;1;26
44588;2022;1;27
44589;2022;1;28
44590;2022;1;29
44591;2022;1;30
44592;2022;1;31
44593;2022;2;01
44594;2022;2;02
44595;2022;2;03
44596;2022;2;04
44597;2022;2;05
44598;2022;2;06
44599;2022;2;07
44600;2022;2;08
44601;2022;2;09
44602;2022;2;10
44603;2022;2;11
44604;2022;2;12
44605;2022;2;13
44606;2022;2;14
44607;2022;2;15
44608;2022;2;16
44609;2022;2;17
44610;2022;2;18
44611;2022;2;19
44612;2022;2;20
44613;2022;2;21
44614;2022;2;22
44615;2022;2;23
44616;2022;2;24
44617;2022;2;25
44618;2022;2;26
44619;2022;2;27
44620;2022;2;28
44621;2022;3;01
44622;2022;3;02
44623;2022;3;03
44624;2022;3;04
44625;2022;3;05
44626;2022;3;06
44627;2022;3;07
44628;2022;3;08
44629;2022;3;09
44630;2022;3;10
44631;2022;3;11
44632;2022;3;12
44633;2022;3;13
44634;2022;3;14
44635;2022;3;15
44636;2022;3;16
44637;2022;3;17
44638;2022;3;18
44639;2022;3;19
44640;2022;3;20
44641;2022;3;21
44642;2022;3;22
44643;2022;3;23
44644;2022;3;24
44645;2022;3;25
44646;2022;3;26
44647;2022;3;27
44648;2022;3;28
44649;2022;3;29
44650;2022;3;30
44651;2022;3;31
44652;2022;4;01
44653;2022;4;02
44654;2022;4;03
44655;2022;4;04
44656;2022;4;05
44657;2022;4;06
44658;2022;4;07
44659;2022;4;08
44660;2022;4;09
44661;2022;4;10
44662;2022;4;11
44663;2022;4;12
44664;2022;4;13
44665;2022;4;14
44666;2022;4;15
44667;2022;4;16
44668;2022;4;17
44669;2022;4;18
44670;2022;4;19
44671;2022;4;20
44672;2022;4;21
44673;2022;4;22
44674;2022;4;23
44675;2022;4;24
44676;2022;4;25
44677;2022;4;26
44678;2022;4;27
44679;2022;4;28
44680;2022;4;29
44681;2022;4;30
44682;2022;5;01
44683;2022;5;02
44684;2022;5;03
44685;2022;5;04
44686;2022;5;05
44687;2022;5;06
44688;2022;5;07
44689;2022;5;08
44690;2022;5;09
44691;2022;5;10
44692;2022;5;11
44693;2022;5;12
44694;2022;5;13
44695;2022;5;14
44696;2022;5;15
44697;2022;5;16
44698;2022;5;17
44699;2022;5;18
44700;2022;5;19
44701;2022;5;20
44702;2022;5;21
44703;2022;5;22
44704;2022;5;23
44705;2022;5;24
44706;2022;5;25
44707;2022;5;26
44708;2022;5;27
44709;2022;5;28
44710;2022;5;29
44711;2022;5;30
44712;2022;5;31
44713;2022;6;01
44714;2022;6;02
44715;2022;6;03
44716;2022;6;04
44717;2022;6;05
44718;2022;6;06
44719;2022;6;07
44720;2022;6;08
44721;2022;6;09
44722;2022;6;10
44723;2022;6;11
44724;2022;6;12
44725;2022;6;13
44726;2022;6;14
44727;2022;6;15
44728;2022;6;16
44729;2022;6;17
44730;2022;6;18
44731;2022;6;19
44732;2022;6;20
44733;2022;6;21
44734;2022;6;22
44735;2022;6;23
44736;2022;6;24
44737;2022;6;25
44738;2022;6;26
44739;2022;6;27
44740;2022;6;28
44741;2022;6;29
44742;2022;6;30
44743;2022;7;01
44744;2022;7;02
44745;2022;7;03
44746;2022;7;04
44747;2022;7;05
44748;2022;7;06
44749;2022;7;07
44750;2022;7;08
44751;2022;7;09
44752;2022;7;10
44753;2022;7;11
44754;2022;7;12
44755;2022;7;13
44756;2022;7;14
44757;2022;7;15
44758;2022;7;16
44759;2022;7;17
44760;2022;7;18
44761;2022;7;19
44762;2022;7;20
44763;2022;7;21
44764;2022;7;22
44765;2022;7;23
44766;2022;7;24
44767;2022;7;25
44768;2022;7;26
44769;2022;7;27
44770;2022;7;28
44771;2022;7;29
44772;2022;7;30
44773;2022;7;31
44774;2022;8;01
44775;2022;8;02
44776;2022;8;03
44777;2022;8;04
44778;2022;8;05
44779;2022;8;06
44780;2022;8;07
44781;2022;8;08
44782;2022;8;09
44783;2022;8;10
44784;2022;8;11
44785;2022;8;12
44786;2022;8;13
44787;2022;8;14
44788;2022;8;15
44789;2022;8;16
44790;2022;8;17
44791;2022;8;18
44792;2022;8;19
44793;2022;8;20
44794;2022;8;21
44795;2022;8;22
44796;2022;8;23
44797;2022;8;24
44798;2022;8;25
44799;2022;8;26
44800;2022;8;27
44801;2022;8;28
44802;2022;8;29
44803;2022;8;30
44804;2022;8;31
44805;2022;9;01
44806;2022;9;02
44807;2022;9;03
44808;2022;9;04
44809;2022;9;05
44810;2022;9;06
44811;2022;9;07
44812;2022;9;08
44813;2022;9;09
44814;2022;9;10
44815;2022;9;11
44816;2022;9;12
44817;2022;9;13
44818;2022;9;14
44819;2022;9;15
44820;2022;9;16
44821;2022;9;17
44822;2022;9;18
44823;2022;9;19
44824;2022;9;20
44825;2022;9;21
44826;2022;9;22
44827;2022;9;23
44828;2022;9;24
44829;2022;9;25
44830;2022;9;26
44831;2022;9;27
44832;2022;9;28
44833;2022;9;29
44834;2022;9;30
44835;2022;10;01
44836;2022;10;02
44837;2022;10;03
44838;2022;10;04
44839;2022;10;05
44840;2022;10;06
44841;2022;10;07
44842;2022;10;08
44843;2022;10;09
44844;2022;10;10
44845;2022;10;11
44846;2022;10;12
44847;2022;10;13
44848;2022;10;14
44849;2022;10;15
44850;2022;10;16
44851;2022;10;17
44852;2022;10;18
44853;2022;10;19
44854;2022;10;20
44855;2022;10;21
44856;2022;10;22
44857;2022;10;23
44858;2022;10;24
44859;2022;10;25
44860;2022;10;26
44861;2022;10;27
44862;2022;10;28
44863;2022;10;29
44864;2022;10;30
44865;2022;10;31
44866;2022;11;01
44867;2022;11;02
44868;2022;11;03
44869;2022;11;04
44870;2022;11;05
44871;2022;11;06
44872;2022;11;07
44873;2022;11;08
44874;2022;11;09
44875;2022;11;10
44876;2022;11;11
44877;2022;11;12
44878;2022;11;13
44879;2022;11;14
44880;2022;11;15
44881;2022;11;16
44882;2022;11;17
44883;2022;11;18
44884;2022;11;19
44885;2022;11;20
44886;2022;11;21
44887;2022;11;22
44888;2022;11;23
44889;2022;11;24
44890;2022;11;25
44891;2022;11;26
44892;2022;11;27
44893;2022;11;28
44894;2022;11;29
44895;2022;11;30
44896;2022;12;01
44897;2022;12;02
44898;2022;12;03
44899;2022;12;04
44900;2022;12;05
44901;2022;12;06
44902;2022;12;07
44903;2022;12;08
44904;2022;12;09
44905;2022;12;10
44906;2022;12;11
44907;2022;12;12
44908;2022;12;13
44909;2022;12;14
44910;2022;12;15
44911;2022;12;16
44912;2022;12;17
44913;2022;12;18
44914;2022;12;19
44915;2022;12;20
44916;2022;12;21
44917;2022;12;22
44918;2022;12;23
44919;2022;12;24
44920;2022;12;25
44921;2022;12;26
44922;2022;12;27
44923;2022;12;28
44924;2022;12;29
44925;2022;12;30
44926;2022;12;31
44927;2023;1;01
44928;2023;1;02
44929;2023;1;03
44930;2023;1;04
44931;2023;1;05
44932;2023;1;06
44933;2023;1;07
44934;2023;1;08
44935;2023;1;09
44936;2023;1;10
44937;2023;1;11
44938;2023;1;12
44939;2023;1;13
44940;2023;1;14
44941;2023;1;15
44942;2023;1;16
44943;2023;1;17
44944;2023;1;18
44945;2023;1;19
44946;2023;1;20
44947;2023;1;21
44948;2023;1;22
44949;2023;1;23
44950;2023;1;24
44951;2023;1;25
44952;2023;1;26
44953;2023;1;27
44954;2023;1;28
44955;2023;1;29
44956;2023;1;30
44957;2023;1;31
44958;2023;2;01
44959;2023;2;02
44960;2023;2;03
44961;2023;2;04
44962;2023;2;05
44963;2023;2;06
44964;2023;2;07
44965;2023;2;08
44966;2023;2;09
44967;2023;2;10
44968;2023;2;11
44969;2023;2;12
44970;2023;2;13
44971;2023;2;14
44972;2023;2;15
44973;2023;2;16
44974;2023;2;17
44975;2023;2;18
44976;2023;2;19
44977;2023;2;20
44978;2023;2;21
44979;2023;2;22
44980;2023;2;23
44981;2023;2;24
44982;2023;2;25
44983;2023;2;26
44984;2023;2;27
44985;2023;2;28
44986;2023;3;01
44987;2023;3;02
44988;2023;3;03
44989;2023;3;04
44990;2023;3;05
44991;2023;3;06
44992;2023;3;07
44993;2023;3;08
44994;2023;3;09
44995;2023;3;10
44996;2023;3;11
44997;2023;3;12
44998;2023;3;13
44999;2023;3;14
45000;2023;3;15
45001;2023;3;16
45002;2023;3;17
45003;2023;3;18
45004;2023;3;19
45005;2023;3;20
45006;2023;3;21
45007;2023;3;22
45008;2023;3;23
45009;2023;3;24
45010;2023;3;25
45011;2023;3;26
45012;2023;3;27
45013;2023;3;28
45014;2023;3;29
45015;2023;3;30
45016;2023;3;31
45017;2023;4;01
45018;2023;4;02
45019;2023;4;03
45020;2023;4;04
45021;2023;4;05
45022;2023;4;06
45023;2023;4;07
45024;2023;4;08
45025;2023;4;09
45026;2023;4;10
45027;2023;4;11
45028;2023;4;12
45029;2023;4;13
45030;2023;4;14
45031;2023;4;15
45032;2023;4;16
45033;2023;4;17
45034;2023;4;18
45035;2023;4;19
45036;2023;4;20
45037;2023;4;21
45038;2023;4;22
45039;2023;4;23
45040;2023;4;24
45041;2023;4;25
45042;2023;4;26
45043;2023;4;27
45044;2023;4;28
45045;2023;4;29
45046;2023;4;30
45047;2023;5;01
45048;2023;5;02
45049;2023;5;03
45050;2023;5;04
45051;2023;5;05
45052;2023;5;06
45053;2023;5;07
45054;2023;5;08
45055;2023;5;09
45056;2023;5;10
45057;2023;5;11
45058;2023;5;12
45059;2023;5;13
45060;2023;5;14
45061;2023;5;15
45062;2023;5;16
45063;2023;5;17
45064;2023;5;18
45065;2023;5;19
45066;2023;5;20
45067;2023;5;21
45068;2023;5;22
45069;2023;5;23
45070;2023;5;24
45071;2023;5;25
45072;2023;5;26
45073;2023;5;27
45074;2023;5;28
45075;2023;5;29
45076;2023;5;30
45077;2023;5;31
45078;2023;6;01
45079;2023;6;02
45080;2023;6;03
45081;2023;6;04
45082;2023;6;05
45083;2023;6;06
45084;2023;6;07
45085;2023;6;08
45086;2023;6;09
45087;2023;6;10
45088;2023;6;11
45089;2023;6;12
45090;2023;6;13
45091;2023;6;14
45092;2023;6;15
45093;2023;6;16
45094;2023;6;17
45095;2023;6;18
45096;2023;6;19
45097;2023;6;20
45098;2023;6;21
45099;2023;6;22
45100;2023;6;23
45101;2023;6;24
45102;2023;6;25
45103;2023;6;26
45104;2023;6;27
45105;2023;6;28
45106;2023;6;29
45107;2023;6;30
45108;2023;7;01
45109;2023;7;02
45110;2023;7;03
45111;2023;7;04
45112;2023;7;05
45113;2023;7;06
45114;2023;7;07
45115;2023;7;08
45116;2023;7;09
45117;2023;7;10
45118;2023;7;11
45119;2023;7;12
45120;2023;7;13
45121;2023;7;14
45122;2023;7;15
45123;2023;7;16
45124;2023;7;17
45125;2023;7;18
45126;2023;7;19
45127;2023;7;20
45128;2023;7;21
45129;2023;7;22
45130;2023;7;23
45131;2023;7;24
45132;2023;7;25
45133;2023;7;26
45134;2023;7;27
45135;2023;7;28
45136;2023;7;29
45137;2023;7;30
45138;2023;7;31
45139;2023;8;01
45140;2023;8;02
45141;2023;8;03
45142;2023;8;04
45143;2023;8;05
45144;2023;8;06
45145;2023;8;07
45146;2023;8;08
45147;2023;8;09
45148;2023;8;10
45149;2023;8;11
45150;2023;8;12
45151;2023;8;13
45152;2023;8;14
45153;2023;8;15
45154;2023;8;16
45155;2023;8;17
45156;2023;8;18
45157;2023;8;19
45158;2023;8;20
45159;2023;8;21
45160;2023;8;22
45161;2023;8;23
45162;2023;8;24
45163;2023;8;25
45164;2023;8;26
45165;2023;8;27
45166;2023;8;28
45167;2023;8;29
45168;2023;8;30
45169;2023;8;31
45170;2023;9;01
45171;2023;9;02
45172;2023;9;03
45173;2023;9;04
45174;2023;9;05
45175;2023;9;06
45176;2023;9;07
45177;2023;9;08
45178;2023;9;09
45179;2023;9;10
45180;2023;9;11
45181;2023;9;12
45182;2023;9;13
45183;2023;9;14
45184;2023;9;15
45185;2023;9;16
45186;2023;9;17
45187;2023;9;18
45188;2023;9;19
45189;2023;9;20
45190;2023;9;21
45191;2023;9;22
45192;2023;9;23
45193;2023;9;24
45194;2023;9;25
45195;2023;9;26
45196;2023;9;27
45197;2023;9;28
45198;2023;9;29
45199;2023;9;30
45200;2023;10;01
45201;2023;10;02
45202;2023;10;03
45203;2023;10;04
45204;2023;10;05
45205;2023;10;06
45206;2023;10;07
45207;2023;10;08
45208;2023;10;09
45209;2023;10;10
45210;2023;10;11
45211;2023;10;12
45212;2023;10;13
45213;2023;10;14
45214;2023;10;15
45215;2023;10;16
45216;2023;10;17
45217;2023;10;18
45218;2023;10;19
45219;2023;10;20
45220;2023;10;21
45221;2023;10;22
45222;2023;10;23
45223;2023;10;24
45224;2023;10;25
45225;2023;10;26
45226;2023;10;27
45227;2023;10;28
