ean;libelle_produit;prix
4,09901E+12;400g soupe de pois casse bio;3,11
5,7819E+12;400g veloute champ bio s/glut;3,11
8,36857E+12;brk 0,5l moulinee.legum.knorr;1,49
3,37719E+12;50cl mouline.leg.vert knor bk;1,52
8,10959E+12;84g knorr gratinee oignon;1,75
8,14524E+12;100g spe marocain/chorba knorr;1,86
1,61592E+12;112g knorr desh. creme legume;1,43
7,80881E+12;105g spe 9legumes passee knorr;1,25
9,11049E+12;133g spe cereale/legumes knorr;1,83
7,43928E+12;104g minestrone h.oliv knorr;1,26
4,57644E+12;72g poule au pot/legume knorr;1,29
4,88339E+12;50cl vel.9 legumes bk knorr;1,4
4,95459E+12;brk 1l douceur 8legume knorr;2,77
9,19619E+12;50cl bk douceur 8 legume knorr;1,88
2,54735E+12;63g pot.poule/vermicell.knorr;0,49
9,13465E+11;83g creme pois au lard knorr;1,11
4,77559E+11;67g  knorr tomate vermicelle;0,57
94833888013;64g creme volaille+legum.knorr;1,16
9,07812E+12;74g riewele supp alsaciene kno;0,71
1,31352E+12;84g knorr dceur 9 legumes;1,17
6,78079E+12;brk 1l veloute potiron knorr;2,86
5,09855E+12;50c bk spe vel.potiro crem kno;2,17
8,1971E+11;50cl knorr creme champignons;2,76
2,92514E+12;96g knorr douceur d'asperge;1,47
7,6205E+12;69g knorr spe chin sichuan;2,29
4,82295E+12;1l psp vel leg liebi soleil bk;3,03
5,70353E+12;1l velout de potiron liebig bk;3,02
4,12311E+12;1l veloute de legumes poeles;2,85
1,44539E+12;1l ps pdt/poireaux lentilles;2,79
8,37885E+12;1l pur soup richesse automne;2,97
8,59262E+12;1l pursoup oseille cresson;3,18
5,46976E+12;1lfondue poireaux st jacque.bk;3,99
9,22175E+12;1l spe bio jardiniere legumes;3,18
5,31652E+11;1l spe bio legum la provencale;3,1
7,9328E+12;bt 300g bisque homard liebig;2,81
1,92672E+12;1l gazpacho liebig;2,99
6,85662E+12;1l dx plais potir kiri liebig;3,27
6,62199E+12;1l potir girol liebig;4,02
9,65417E+12;1lpsm leg d'autrefoi liebig bk;2,66
2,91363E+12;1l liebig  psv 10 legumes bk;2,13
2,55718E+12;1l ps moul 10legum vari bk lie;2,06
3,24988E+12;1l ps mouline legum printanier;2,93
8,21389E+12;2x35c ps velout 10legu lieb bk;1,79
2,21545E+12;2x35cl liebig pm leg/verm bk;2,05
3,63111E+12;liebig soupe de poissons 2x35c;2,51
3,64331E+12;2x35c vel de cepes et bolet bk;2,57
8,52941E+12;liebig veloute de leg tom 2x35;1,73
2,56243E+12;ps vel poireaux pdt pt creme 2;1,88
9,32879E+11;2x35c ps vel legum du solei bk;2,57
9,72615E+12;2x35clieb psv potir crem fr bk;2,55
7,00993E+12;ps veloute de legumes poeles 2;2,55
6,33832E+12;2x35cmouline de legumes dhiver;2,57
1,37236E+12;2x35cdelic potiron chataig bk;2,57
9,23606E+12;fondue poireaux st jacques  2x;3,14
3,72155E+12;liebig ps vel carottes 2x35cl;2,51
82994326386;2x35c potage malin tom/vermbk;2,03
2,13569E+12;duo asperges morilles 2x35cl;3,52
4,6801E+12;ps oseille cresson & cr fra 2x;2,66
3,36672E+12;dlce de leg&langoust2x35cl;3,31
2,73064E+12;dx plaisir legumes kiri 2x35cl;2,89
4,5125E+12;dx plaisir potiron kiri 2x35cl;2,89
6,52216E+12;liebig gm potiron girolle 2x35;3,35
1,48886E+12;liebig gm volaille morilles 2x;3,52
2,0459E+12;2x35cps moul 10legum lieb bk;1,94
9,20031E+12;2x35clb poule au pot vermicele;2,55
1,62378E+12;1l liebig  courget/chevre bk;2,97
5,73363E+12;1liebig velte de champignon bk;2,97
6,29489E+12;2x35c liebig spe minestrone bk;2,97
3,40463E+12;1l pur soup poir/pdt liebig bk;1,85
6,11712E+12;1l ps veloute tomat brk liebig;1,97
7,0304E+12;1l potage poule au pot liebig;2,87
6,51364E+12;1l potage minestrone milanaise;2,97
5,60129E+12;80g royco classique tomates;1,1
5,69783E+11;80g royco classiques legumes;1,14
3,68272E+11;80g creme champignon royco;1,97
5,18792E+12;80g4st cremeu-crem asp/crt roy;1,93
6,72508E+11;80g royco gratinee oignon;1,97
4,99036E+12;60g3st craq tom prov&crout ail;1,73
2,26701E+12;60groyco ext.croqu.delic legum;1,73
8,10053E+12;60groyco ext.croqu.delic poire;1,68
4,52411E+12;80g royco mouline 10 legumes;1,58
9,36941E+12;80g royco moulinee 7 leg.verts;1,81
9,46161E+12;60groyco ext.croq.delic courge;1,67
6,96681E+11;60groyco ext.croq.delic forest;1,7
8,70635E+12;60g3stcrq leg soleil&crout roy;1,71
5,60945E+12;60g bouillon-volail/vermi royc;1,71
9,82874E+12;86g crq delice de poulet 3st;1,82
8,93863E+12;3stx20cl legumes et mini pates;1,85
3,66695E+12;66g veloute de potiron 4 sache;1,81
6,39438E+12;76g soupe a l'indienne royco;1,88
1,44155E+12;49g adm soupe a la vietnamien;1,73
6,60919E+11;34g soupe miso & tofu 3 sachet;1,73
8,98011E+12;90g crouton nature tipiak;1,3
1,47776E+12;90g croutons ronds ail;1,33
6,56962E+12;90g croutons ronds fromage;1,35
1,8457E+12;50g croutons salade afh tipiak;1,68
4,3534E+12;90g rouille by fonfon;4,21
3,71463E+12;90g aioli by fonfon;4,21
7,04022E+12;970g soup.poisson by fonfon;10,18
5,17285E+12;780g  bouillabaisse;15,8
3,36263E+12;750g soupe au pistou j.martin;6,28
8,5057E+12;750g soupe gaspacho j.martin;6,67
8,69999E+12;100g crout.oliv.safr.by fonfon;3,37
8,39375E+12;2x25c vel carot crem le gall;1,99
5,31981E+12;2x25c vel 7legumes varies;1,99
3,16379E+12;bc 72cl soupe poisson roche;6,04
5,57946E+12;bc 37cl soupe poisson roche;3,45
8,02429E+12;bout 72cl soupe poisson roche;2,87
5,23439E+11;bc 72cl soupe poisson pecheur;4,04
8,5021E+12;410g bisque homard bte malartr;5,61
9,1945E+11;500ml veloute de cardons;4,32
2,83041E+12;500ml veloute carottes/tomate;3,79
2,84959E+12;500ml veloute d'asperges;3,79
6,11605E+12;500ml veloute potimarron;4,93
1,02061E+12;80g croutons pains frottes ail;1,28
2,75296E+12;80g croutons de pain grilles;1,3
9,28542E+11;71g bouillon volaille ariak;4,46
6,49405E+12;53g bouillon boeuf ariake;4,35
4,05949E+12;45g bouillon crustace ariake;4,33
6,82682E+12;52g bouillon legumes ariak;4,44
7,24411E+12;33g ariake miso&tofu;4,96
8,60868E+12;36g ariake miso&legumes;4,91
9,91341E+12;39g ariake miso & crustaces;4,93
1,30566E+12;70gbouillon thai ariake;3,98
9,94753E+11;1lknorrr soup dcr automn cf;2,97
3,48716E+12;1lgourme delic leg automn bk k;3,98
4,51042E+11;1l knorr soupe indienne;3,79
4,34926E+12;1l knorr soupe thailandaise;3,8
3,89224E+12;64g mg vel potiron chataign kn;2,17
5,6157E+12;1l knr soupe vietnamienne;3,84
6,44022E+12;1lknorr velout 9 legumes bk;2,31
5,25923E+12;1l knorr moul leg varies bk;2,37
7,73675E+12;500ml spe dcr automn crem knor;2,29
5,71957E+12;39g soupe vietnamienne knorr;2,17
2,57319E+12;500ml knr dr courgett chev;2,36
2,77506E+12;1l knr soupe chinoise;3,7
3,09162E+12;300ml knorr bio leg potag;1,49
3,25122E+12;1l knr mg poireau st jacq;3,99
1,43749E+12;36g knor soupissime ins potiro;1,01
9,06072E+12;32g knorr soupissime 8 legumes;1,01
5,83529E+12;30g knorr soupissime inst thai;1,01
6,1638E+12;30g knor soupisime poireau/pdt;1,01
1,79631E+12;63g knr soupe tomate provencal;1,01
4,42127E+11;50cl knr mouline leg autref;2,2
8,55795E+12;1l knorr douceur pot/chat;3,55
7,44188E+12;95g mouline legum hiver knorr;1,47
9,16385E+12;75g knor soupe creme volaille;1,47
5,68777E+12;38g knorr soupissime asperges;1,01
8,30084E+12;50cl knor spe potir chataigne;2,2
9,17638E+12;50cl knorr spe minestrone;2,86
4,24902E+11;1l knor sgm.potiron carotte bk;3,24
6,14054E+12;1l bk douc cour from chevr knr;3,25
8,81708E+12;0,5l knorr leg du soleil;2,24
9,31139E+12;1l mg potiron truf knor;3,99
9,01356E+12;1l knorr mouli leg autref bk;2,57
6,94408E+11;30cl knorr poule vermicelle;1,49
6,77104E+12;30c soupe douc de 8 legum knor;1,49
9,60314E+12;30cl knorr soup leg vari;1,41
2,85798E+12;30c soupe veloute potiron knor;1,41
5,83859E+12;30cl soupe courg chev knorr;1,55
6,19485E+12;105g mg potir patat douc knor;2,14
2,59618E+12;83g douc leg automn knorr;1,61
6,12052E+12;85g knorr soupe forestiere;1,67
9,02511E+12;100g knorr creme de potiron;1,76
5,47353E+12;91g knor dac veloute cepes boi;2,22
7,29055E+12;84gknor dac fond poireau creve;2,19
5,50057E+12;1l knor mg bisque homard bk;3,96
9,08269E+11;69g soupe thai knor;2,23
8,8224E+12;1l soupe bio douc de leg.knorr;2,81
3,29708E+12;1l spe bio knor leg potag moul;2,79
3,39058E+12;0,5l bio leg.potager moul.knor;2,12
5,95051E+12;1l knorr soupe forestiere cep;3,52
1,00662E+12;28g stx5 lev.boulangere brioch;1,27
8,4111E+12;192g flan saveur vanille alsa;1,53
6,42047E+12;232g flan chocolat alsa;1,95
6,67404E+11;53gsucre vanille des isle alsa;3,45
5,78026E+12;300gprep.cookie.nat pepit.choc;4,15
5,5795E+12;250g sauceline maizena;1,97
2,16241E+12;390g alsa creme patissiere;3,19
9,97605E+12;250g chapelur poch vivien pail;1,27
4,88928E+12;500g farine de ble francine;0,82
7,7226E+12;1kg farine de ble francine;1,07
1,18877E+12;1kg farine supreme boite franc;2,01
8,04319E+12;1kg farine de ble bio francine;2,28
